,Price,Address,Neighborhood,Bedrooms,Property_Type,Price_Scaled
58,1100000,Iwaya Onike Yaba Lagos,Yaba,3.0,Flat,-0.1325831426543661
59,1000000,Iwaya Onike Yaba Lagos,Yaba,2.0,Flat,-0.1415441965113108
60,250000,Ogunfayo Ogunfayo Lakowe Ajah Lagos,Ajah,1.0,mini,-0.20875210043839626
61,500000,Container Awoyaya Ajah Lagos,Ajah,2.0,Flat,-0.18634946579603445
62,700000,Fola Agoro Fola Agoro Yaba Lagos,Yaba,3.0,Flat,-0.16842735808214498
63,700000,Fola Agoro Fola Agoro Yaba Lagos,Yaba,3.0,Flat,-0.16842735808214498
64,800000,Off Herbert Macaulay way Adekunle Yaba Lagos,Yaba,3.0,Flat,-0.15946630422520028
65,4000000,"Problyn Road, Ikoyi Ikoyi S.w Ikoyi Lagos",Ikoyi,3.0,Flat,0.12728741919703088
66,1600000,GRA Phase 2-beside school kit shop Magodo Kosofe Ikosi Lagos,Kosofe,3.0,Flat,-0.08777787336964249
67,800000,off Herbert Macaulay way Adekunle Yaba Lagos,Yaba,3.0,Flat,-0.15946630422520028
68,800000,off Herbert Macaulay way Alagomeji Yaba Lagos,Yaba,3.0,Flat,-0.15946630422520028
69,250000,Macaulay estate Bayeku Igbogbo Ikorodu Lagos,Ikorodu,2.0,Flat,-0.20875210043839626
70,250000,Fawole Ikorodu Igbogbo Ikorodu Lagos,Ikorodu,2.0,Flat,-0.20875210043839626
71,250000,Macaulay Ikorodu Igbogbo Ikorodu Lagos,Ikorodu,2.0,Flat,-0.20875210043839626
72,3200000,Lekki Phase 1 Lekki Lagos,Lekki,4.0,Duplex,0.055598988341473095
73,300000,off Unilag road Abule Oja Yaba Lagos,Yaba,2.0,Unknown,-0.2042715735099239
74,300000,off Unilag road Abule Oja Yaba Lagos,Yaba,2.0,Unknown,-0.2042715735099239
75,2800000,Connal road agness Sabo Yaba Lagos,Yaba,4.0,Duplex,0.0197547729136942
76,2800000,connal road agness Sabo Yaba Lagos,Yaba,4.0,Duplex,0.0197547729136942
77,2800000,connal road. agness Sabo Yaba Lagos,Yaba,4.0,Duplex,0.0197547729136942
78,350000,Shobande street chemist Akoka Yaba Lagos,Yaba,1.0,mini,-0.19979104658145153
79,300000,off Unilag road Abule Oja Yaba Lagos,Yaba,2.0,Unknown,-0.2042715735099239
80,1500000,Moleye street Adekunle Alagomeji Yaba Lagos,Yaba,3.0,Flat,-0.09673892722658721
81,1500000,moleye st sabo Alagomeji Yaba Lagos,Yaba,3.0,Flat,-0.09673892722658721
82,660000,iwaya rd iwaya rd Onike Yaba Lagos,Yaba,1.0,mini,-0.1720117796249229
83,500000,Ladi Lak off Pedro road Palmgroove Shomolu Lagos,Shomolu,2.0,Flat,-0.18634946579603445
84,1000000,pedro st Iwaya Onike Yaba Lagos,Yaba,2.0,Flat,-0.1415441965113108
85,500000,Ladi Lak off Pedro road Palmgroove Shomolu Lagos,Shomolu,2.0,Flat,-0.18634946579603445
86,500000,Ladi Lak off Pedro road Palmgroove Shomolu Lagos,Shomolu,2.0,Flat,-0.18634946579603445
